Date,Raw_Close,Adj_Close,Daily_Return_Pct,Cum_Return_Pct
2016-04-06,22.07,14.3,,0.0
2016-04-07,21.96,14.23,-0.5,-0.5
2016-04-08,22.21,14.4,1.1725,0.67
2016-04-11,22.21,14.4,0.0,0.67
2016-04-12,22.43,14.54,0.9934,1.67
2016-04-13,23.24,15.06,3.6066,5.33
2016-04-14,24.27,15.73,4.4304,10.0
2016-04-15,24.68,15.99,1.6667,11.83
2016-04-18,24.97,16.18,1.1922,13.17
2016-04-19,24.64,15.97,-1.3255,11.67
2016-04-20,24.16,15.66,-1.9403,9.5
2016-04-21,24.64,15.97,1.9787,11.67
2016-04-22,24.35,15.78,-1.194,10.33
2016-04-25,24.42,15.83,0.3021,10.67
2016-04-26,24.24,15.71,-0.753,9.83
2016-04-27,24.27,15.73,0.1517,10.0
2016-04-28,24.46,15.85,0.7576,10.83
2016-04-29,24.2,15.68,-1.0526,9.67
2016-05-03,24.02,15.56,-0.7599,8.83
2016-05-04,22.8,14.78,-5.0536,3.33
2016-05-05,22.66,14.68,-0.6452,2.67
2016-05-06,22.58,14.63,-0.3246,2.33
2016-05-09,22.07,14.3,-2.2802,0.0
2016-05-10,22.21,14.4,0.6667,0.67
2016-05-11,21.81,14.13,-1.8212,-1.17
2016-05-12,21.85,14.16,0.1686,-1.0
2016-05-13,21.33,13.82,-2.3569,-3.33
2016-05-16,21.04,13.63,-1.3793,-4.67
2016-05-17,21.33,13.82,1.3986,-3.33
2016-05-18,20.96,13.59,-1.7241,-5.0
2016-05-19,20.38,13.2,-2.807,-7.67
2016-05-20,20.82,13.49,2.1661,-5.67
2016-05-23,21.18,13.73,1.7668,-4.0
2016-05-24,21.26,13.78,0.3472,-3.67
2016-05-25,21.52,13.94,1.2111,-2.5
2016-05-26,21.55,13.97,0.1709,-2.33
2016-05-27,21.66,14.04,0.5119,-1.83
2016-05-30,21.81,14.13,0.6791,-1.17
2016-05-31,22.1,14.32,1.3491,0.17
2016-06-01,21.99,14.25,-0.4992,-0.33
2016-06-02,22.07,14.3,0.3344,0.0
2016-06-03,22.58,14.63,2.3334,2.33
2016-06-06,22.03,14.28,-2.443,-0.17
2016-06-07,23.02,14.92,4.5075,4.33
2016-06-08,23.24,15.06,0.9585,5.33
2016-06-13,23.17,15.02,-0.3164,5.0
2016-06-14,23.02,14.92,-0.635,4.33
2016-06-15,23.69,15.35,2.8754,7.33
2016-06-16,22.54,14.61,-4.8137,2.17
2016-06-17,23.46,15.21,4.0783,6.33
2016-06-20,23.69,15.35,0.9404,7.33
2016-06-21,23.91,15.49,0.9317,8.33
2016-06-22,24.09,15.61,0.7692,9.17
2016-06-23,23.5,15.23,-2.4427,6.5
2016-06-24,23.17,15.02,-1.4084,5.0
2016-06-27,23.17,15.02,0.0,5.0
2016-06-28,23.43,15.18,1.1111,6.17
2016-06-29,23.17,15.02,-1.0989,5.0
2016-06-30,23.57,15.28,1.746,6.83
2016-07-01,24.02,15.56,1.8721,8.83
2016-07-04,24.75,16.04,3.0628,12.17
2016-07-05,24.97,16.18,0.8915,13.17
2016-07-06,24.35,15.78,-2.5037,10.33
2016-07-07,25.08,16.26,3.0211,13.67
2016-07-08,25.08,16.26,0.0,13.67
2016-07-11,25.82,16.73,2.9326,17.0
2016-07-12,25.6,16.59,-0.8547,16.0
2016-07-13,25.74,16.68,0.5747,16.67
2016-07-14,25.78,16.71,0.1428,16.83
2016-07-15,25.93,16.8,0.5706,17.5
2016-07-18,26.11,16.92,0.7092,18.33
2016-07-19,26.19,16.97,0.2817,18.67
2016-07-20,25.97,16.83,-0.8427,17.67
2016-07-21,26.11,16.92,0.5666,18.33
2016-07-22,25.63,16.61,-1.831,16.17
2016-07-25,25.08,16.9,1.7303,18.18
2016-07-26,24.83,16.73,-1.0264,16.96
2016-07-27,25.05,16.88,0.8889,18.0
2016-07-28,25.08,16.9,0.1469,18.18
2016-07-29,24.94,16.8,-0.5865,17.48
2016-08-01,24.94,16.8,0.0,17.48
2016-08-02,25.3,17.05,1.4749,19.22
2016-08-03,25.67,17.3,1.4535,20.95
2016-08-04,25.38,17.1,-1.1461,19.56
2016-08-05,25.67,17.3,1.1594,20.95
2016-08-08,25.74,17.35,0.2865,21.3
2016-08-09,25.74,17.35,0.0,21.3
2016-08-10,25.78,17.37,0.1428,21.47
2016-08-11,25.74,17.35,-0.1426,21.3
2016-08-12,25.74,17.35,0.0,21.3
2016-08-15,25.74,17.35,0.0,21.3
2016-08-16,25.63,17.27,-0.4286,20.78
2016-08-17,25.16,16.95,-1.8651,18.52
2016-08-18,25.82,17.4,2.6316,21.64
2016-08-19,27.03,18.21,4.7008,27.36
2016-08-22,27.55,18.56,1.9048,29.79
2016-08-23,27.62,18.61,0.267,30.13
2016-08-24,27.55,18.56,-0.2663,29.79
2016-08-25,27.73,18.68,0.6676,30.65
2016-08-26,27.55,18.56,-0.6631,29.79
2016-08-29,27.03,18.21,-1.8692,27.36
2016-08-30,26.59,17.92,-1.6326,25.28
2016-08-31,26.66,17.97,0.2766,25.63
2016-09-01,25.93,17.47,-2.7586,22.16
2016-09-02,26.19,17.64,0.9929,23.38
2016-09-05,26.77,18.04,2.2472,26.15
2016-09-06,27.47,18.51,2.6099,29.44
2016-09-07,27.51,18.54,0.1338,29.61
2016-09-08,26.88,18.11,-2.2727,26.67
2016-09-09,26.3,17.72,-2.1888,23.89
2016-09-12,25.6,17.25,-2.6573,20.6
2016-09-13,25.3,17.05,-1.1494,19.22
2016-09-14,25.19,16.97,-0.436,18.7
2016-09-19,25.34,17.07,0.5839,19.39
2016-09-20,25.38,17.1,0.1451,19.56
2016-09-21,26.59,17.92,4.7826,25.28
2016-09-22,26.22,17.67,-1.3831,23.55
2016-09-23,26.44,17.82,0.8415,24.59
2016-09-26,26.52,17.87,0.2782,24.93
2016-09-27,26.52,17.87,0.0,24.93
2016-09-28,26.52,17.87,0.0,24.93
2016-09-29,26.96,18.16,1.6644,27.01
2016-09-30,26.33,17.74,-2.3193,24.07
2016-10-03,26.3,17.72,-0.1397,23.89
2016-10-04,26.44,17.82,0.5594,24.59
