Date,Raw_Close,Adj_Close,Daily_Return_Pct,Cum_Return_Pct
2016-04-06,11.5,6.56,,0.0
2016-04-07,11.26,6.42,-2.0652,-2.07
2016-04-08,12.14,6.92,7.7691,5.54
2016-04-11,12.31,7.02,1.4418,7.07
2016-04-12,12.11,6.91,-1.6244,5.33
2016-04-13,12.32,7.03,1.7544,7.17
2016-04-14,12.35,7.04,0.2028,7.39
2016-04-15,12.38,7.06,0.2024,7.61
2016-04-18,12.48,7.11,0.8081,8.48
2016-04-19,12.27,7.0,-1.6032,6.74
2016-04-20,12.26,6.99,-0.1018,6.63
2016-04-21,12.36,7.05,0.8155,7.5
2016-04-22,12.38,7.06,0.1011,7.61
2016-04-25,12.18,6.94,-1.6162,5.87
2016-04-26,11.9,6.79,-2.2587,3.48
2016-04-27,11.96,6.82,0.5252,4.02
2016-04-28,11.93,6.8,-0.3135,3.7
2016-04-29,11.75,6.7,-1.4675,2.17
2016-05-03,11.27,6.43,-4.0425,-1.96
2016-05-04,10.9,6.22,-3.326,-5.22
2016-05-05,10.84,6.18,-0.5734,-5.76
2016-05-06,10.79,6.15,-0.4614,-6.2
2016-05-09,11.01,6.28,2.0857,-4.24
2016-05-10,10.9,6.22,-1.0216,-5.22
2016-05-11,10.73,6.12,-1.6055,-6.74
2016-05-12,10.94,6.24,1.9814,-4.89
2016-05-13,10.73,6.12,-1.9429,-6.74
2016-05-16,10.73,6.12,0.0,-6.74
2016-05-17,10.69,6.09,-0.3497,-7.07
2016-05-18,10.56,6.02,-1.1696,-8.15
2016-05-19,10.51,5.99,-0.4734,-8.59
2016-05-20,10.69,6.09,1.6647,-7.07
2016-05-23,11.34,6.47,6.0819,-1.41
2016-05-24,11.11,6.34,-1.9846,-3.37
2016-05-25,11.2,6.39,0.7874,-2.61
2016-05-26,11.21,6.39,0.1116,-2.5
2016-05-27,11.27,6.43,0.5574,-1.96
2016-05-30,11.15,6.36,-1.1087,-3.04
2016-05-31,11.32,6.46,1.5695,-1.52
2016-06-01,11.65,6.64,2.8698,1.3
2016-06-02,11.5,6.56,-1.2875,0.0
2016-06-03,11.44,6.52,-0.5435,-0.54
2016-06-06,11.61,6.62,1.53,0.98
2016-06-07,11.68,6.66,0.5382,1.52
2016-06-08,11.64,6.64,-0.3212,1.2
2016-06-13,11.31,6.45,-2.7927,-1.63
2016-06-14,11.56,6.59,2.2099,0.54
2016-06-15,11.59,6.61,0.2162,0.76
2016-06-16,11.41,6.51,-1.5102,-0.76
2016-06-17,11.49,6.55,0.6572,-0.11
2016-06-20,11.75,6.7,2.2851,2.17
2016-06-21,11.65,6.64,-0.8511,1.3
2016-06-22,11.79,6.72,1.1803,2.5
2016-06-23,11.77,6.71,-0.106,2.39
2016-06-24,11.69,6.66,-0.7431,1.63
2016-06-27,11.93,6.8,2.0321,3.7
2016-06-28,12.12,6.91,1.6771,5.43
2016-06-29,12.81,7.31,5.6701,11.41
2016-06-30,13.69,7.81,6.8293,19.02
2016-07-01,13.75,7.84,0.4566,19.57
2016-07-04,14.0,7.98,1.8182,21.74
2016-07-05,14.06,8.02,0.4464,22.28
2016-07-06,13.75,7.84,-2.2222,19.57
2016-07-07,13.62,8.03,2.3474,22.37
2016-07-08,13.62,8.03,0.0,22.37
2016-07-11,13.88,8.17,1.8349,24.62
2016-07-12,13.62,8.03,-1.8018,22.37
2016-07-13,14.12,8.32,3.6697,26.86
2016-07-14,13.94,8.21,-1.3274,25.18
2016-07-15,14.06,8.28,0.8969,26.3
2016-07-18,14.69,8.65,4.4444,31.91
2016-07-19,15.31,9.02,4.2553,37.53
2016-07-20,15.31,9.02,0.0,37.53
2016-07-21,15.94,9.39,4.0816,43.14
2016-07-22,15.75,9.28,-1.1765,41.46
2016-07-25,15.38,9.06,-2.3809,38.09
2016-07-26,15.56,9.17,1.2195,39.77
2016-07-27,15.81,9.31,1.6064,42.02
2016-07-28,16.12,9.5,1.9763,44.83
2016-07-29,16.19,9.53,0.3876,45.39
2016-08-01,16.12,9.5,-0.3861,44.83
2016-08-02,16.31,9.61,1.1628,46.51
2016-08-03,16.31,9.61,0.0,46.51
2016-08-04,16.25,9.57,-0.3831,45.95
2016-08-05,16.69,9.83,2.6923,49.88
2016-08-08,17.0,10.01,1.8727,52.68
2016-08-09,16.69,9.83,-1.8382,49.88
2016-08-10,16.25,9.57,-2.6217,45.95
2016-08-11,15.88,9.35,-2.3077,42.58
2016-08-12,15.88,9.35,0.0,42.58
2016-08-15,15.19,8.95,-4.3307,36.41
2016-08-16,15.56,9.17,2.4691,39.77
2016-08-17,15.38,9.06,-1.2048,38.09
2016-08-18,15.31,9.02,-0.4065,37.53
2016-08-19,15.88,9.35,3.6735,42.58
2016-08-22,15.81,9.31,-0.3937,42.02
2016-08-23,15.75,9.28,-0.3953,41.46
2016-08-24,15.38,9.06,-2.3809,38.09
2016-08-25,16.06,9.46,4.4715,44.26
2016-08-26,16.06,9.46,0.0,44.26
2016-08-29,15.69,9.24,-2.3346,40.9
2016-08-30,15.94,9.39,1.5936,43.14
2016-08-31,15.69,9.24,-1.5686,40.9
2016-09-01,15.19,8.95,-3.1873,36.41
2016-09-02,14.75,8.69,-2.8807,32.48
2016-09-05,15.31,9.02,3.8136,37.53
2016-09-06,15.25,8.98,-0.4082,36.97
2016-09-07,15.19,8.95,-0.4098,36.41
2016-09-08,15.12,8.91,-0.4115,35.84
2016-09-09,14.69,8.65,-2.8926,31.91
2016-09-12,14.12,8.32,-3.8298,26.86
2016-09-13,14.31,8.43,1.3274,28.55
2016-09-14,14.0,8.25,-2.1834,25.74
2016-09-19,14.25,8.39,1.7857,27.99
2016-09-20,14.69,8.65,3.0702,31.91
2016-09-21,14.88,8.76,1.2766,33.6
2016-09-22,14.62,8.61,-1.6807,31.35
2016-09-23,14.69,8.65,0.4273,31.91
2016-09-26,14.5,8.54,-1.2766,30.23
2016-09-27,14.5,8.54,0.0,30.23
2016-09-28,14.5,8.54,0.0,30.23
2016-09-29,14.56,8.58,0.431,30.79
2016-09-30,14.31,8.43,-1.7167,28.55
2016-10-03,15.19,8.95,6.1135,36.41
2016-10-04,15.19,8.95,0.0,36.41
2016-10-05,15.31,9.02,0.823,37.53
2016-10-06,15.38,9.06,0.4082,38.09
2016-10-07,15.0,8.83,-2.439,34.72
2016-10-11,14.56,8.58,-2.9167,30.79
2016-10-12,14.62,8.61,0.4292,31.35
2016-10-13,14.75,8.69,0.8547,32.48
2016-10-14,14.5,8.54,-1.6949,30.23
2016-10-17,14.5,8.54,0.0,30.23
2016-10-18,14.69,8.65,1.2931,31.91
2016-10-19,14.94,8.8,1.7021,34.16
2016-10-20,15.0,8.83,0.4184,34.72
2016-10-21,15.56,9.17,3.75,39.77
2016-10-24,16.0,9.42,2.8113,43.7
2016-10-25,16.25,9.57,1.5625,45.95
2016-10-26,16.38,9.64,0.7692,47.07
2016-10-27,16.06,9.46,-1.9084,44.26
2016-10-28,15.44,9.09,-3.8911,38.65
2016-10-31,15.0,8.83,-2.834,34.72
2016-11-01,15.31,9.02,2.0833,37.53
2016-11-02,15.12,8.91,-1.2245,35.84
2016-11-03,14.94,8.8,-1.2397,34.16
2016-11-04,15.0,8.83,0.4184,34.72
2016-11-07,15.0,8.83,0.0,34.72
2016-11-08,15.31,9.02,2.0833,37.53
2016-11-09,14.38,8.47,-6.1224,29.11
2016-11-10,14.75,8.69,2.6087,32.48
2016-11-11,14.31,8.43,-2.9661,28.55
2016-11-14,14.19,8.36,-0.8734,27.42
2016-11-15,14.25,8.39,0.4405,27.99
2016-11-16,14.25,8.39,0.0,27.99
2016-11-17,14.56,8.58,2.193,30.79
2016-11-18,14.56,8.58,0.0,30.79
2016-11-21,14.69,8.65,0.8584,31.91
2016-11-22,14.69,8.65,0.0,31.91
2016-11-23,14.56,8.58,-0.8511,30.79
2016-11-24,14.44,8.5,-0.8584,29.67
2016-11-25,14.56,8.58,0.8658,30.79
2016-11-28,14.38,8.47,-1.2875,29.11
2016-11-29,14.44,8.5,0.4348,29.67
2016-11-30,14.31,8.43,-0.8658,28.55
2016-12-01,14.31,8.43,0.0,28.55
2016-12-02,14.19,8.36,-0.8734,27.42
